model,actual_w,predicted_w
Linijinė regresija,2571.3660712,3161.339800948027
Linijinė regresija,3272.904285714286,2931.2792999462717
Linijinė regresija,3155.8571428,3858.6553131330265
Linijinė regresija,3230.220476190476,3688.2185792796636
Linijinė regresija,2307.667142857143,2591.12154873652
Linijinė regresija,4351.6089286,5028.798745897352
Linijinė regresija,5576.7678571,6376.759147689113
Linijinė regresija,2230.937142857143,2129.569794651042
Linijinė regresija,6234.8428573,7252.191413499128
Linijinė regresija,3808.256666666666,3083.057993737096
Linijinė regresija,6517.8875,7468.490186011743
Linijinė regresija,4838.996666666667,3969.98043274837
Linijinė regresija,7359.1142858,7988.224495831174
Linijinė regresija,7710.232857142857,6944.312995004016
Linijinė regresija,11546.167142857144,9987.952211462252
Linijinė regresija,8189.85,8725.613304397768
Linijinė regresija,9038.5857145,9572.942893094587
Linijinė regresija,10053.16238095238,9665.340959395162
Linijinė regresija,9610.5607143,10140.99814331565
Linijinė regresija,6093.970476190476,6425.671964707223
Linijinė regresija,7513.511428571429,6869.135753399255
Linijinė regresija,10287.6714286,10715.875736941001
Linijinė regresija,11091.9714286,11174.09472851915
Linijinė regresija,9578.859523809524,8286.261668631301
Linijinė regresija,12068.0660714,11974.84576075511
Linijinė regresija,10442.330952380951,8933.858563140551
Linijinė regresija,12320.907143,12327.13986149825
Linijinė regresija,11066.210952380952,9321.097094634846
Linijinė regresija,12771.4357142,12158.409180470804
Linijinė regresija,12330.866666666669,10360.389386334136
Linijinė regresija,15504.9285714,13901.580309141507
Linijinė regresija,12728.820952380953,10308.228498248187
Linijinė regresija,16784.8607143,14981.896650859118
Linijinė regresija,14260.659523809523,11475.803894580975
Linijinė regresija,14807.346666666666,12202.019627496677
Linijinė regresija,15787.1125,14618.786957089313
Linijinė regresija,15431.141428571427,13803.642988674801
Linijinė regresija,17764.0821428,15664.779750864673
Linijinė regresija,19972.9375002,16793.40459292611
Linijinė regresija,0.0,15640.347219302152
Linijinė regresija,19207.2392858,16325.218754880814
Linijinė regresija,1287.876923076923,12393.767232578764
Linijinė regresija,17050.2160714,15300.536140074615
Linijinė regresija,10503.893333333332,8789.062971453495
Linijinė regresija,12529.1107142,12294.208959126649
Linijinė regresija,12645.2,10185.444748755352
Linijinė regresija,10550.829047619049,8890.959045073869
Linijinė regresija,14581.6714284,13481.485813752988
Linijinė regresija,15706.0875,13868.869343642913
Linijinė regresija,10189.84,8616.422374786209
Linijinė regresija,10412.4285715,11361.883990604354
Linijinė regresija,11460.853333333333,9066.525904675029
Linijinė regresija,13812.7107143,11875.309976085435
Linijinė regresija,14075.18,10589.746930953374
Linijinė regresija,14541.3357143,12909.433516905789
Linijinė regresija,11098.72,9802.16677074099
Linijinė regresija,20225.8785719,15827.704272155232
Linijinė regresija,10877.139523809525,9312.413568342941
Linijinė regresija,22239.7392857,17197.75376712973
Linijinė regresija,7362.432380952381,7448.6030586774605
Linijinė regresija,13308.830357,13662.884839388717
Linijinė regresija,5339.171904761904,5695.28966943773
Linijinė regresija,8154.379999999999,6949.994408263853
Linijinė regresija,15944.3071429,13945.772072959284
Linijinė regresija,13594.1071429,12815.981599014736
Linijinė regresija,12330.726666666667,9214.090740131282
Linijinė regresija,15428.0410715,13217.79185656756
Linijinė regresija,7258.408571428571,6496.007396319926
Linijinė regresija,13658.9732142,12364.156377799118
Linijinė regresija,9340.470952380952,7453.307817622536
Linijinė regresija,10372.2375,10539.582289877013
Linijinė regresija,6398.164761904762,5871.336973987228
Linijinė regresija,3808.846666666667,3952.7396443730167
Linijinė regresija,9614.2482143,9258.855617336809
Linijinė regresija,3779.432380952381,2822.1477927269943
Linijinė regresija,7792.792857,7845.341366696334
Linijinė regresija,2291.634285714286,2033.8708752773246
Linijinė regresija,6811.3982144,6136.968516107906
Linijinė regresija,2496.500476190476,2390.884810157827
Linijinė regresija,5158.4232143,3808.128485682021
Linijinė regresija,1981.73,2368.625384702419
